ID,Gene Symbol,Gene Title
1007_s_at,DDR1 /// MIR4640,discoidin domain receptor tyrosine kinase 1 /// microRNA 4640
1053_at,RFC2,"replication factor C (activator 1) 2, 40kDa"
117_at,HSPA6,heat shock 70kDa protein 6 (HSP70B')
121_at,PAX8,paired box 8
1255_g_at,GUCA1A,guanylate cyclase activator 1A (retina)
1294_at,MIR5193 /// UBA7,microRNA 5193 /// ubiquitin-like modifier activating enzyme 7
1316_at,THRA,"thyroid hormone receptor, alpha"
1320_at,PTPN21,"protein tyrosine phosphatase, non-receptor type 21"
1405_i_at,CCL5,chemokine (C-C motif) ligand 5
1431_at,CYP2E1,"cytochrome P450, family 2, subfamily E, polypeptide 1"
1438_at,EPHB3,EPH receptor B3
1487_at,ESRRA,estrogen-related receptor alpha
1494_f_at,CYP2A6,"cytochrome P450, family 2, subfamily A, polypeptide 6"
1552256_a_at,SCARB1,"scavenger receptor class B, member 1"
1552257_a_at,TTLL12,"tubulin tyrosine ligase-like family, member 12"
1552258_at,LINC00152 /// LOC101930489,long intergenic non-protein coding RNA 152 /// uncharacterized LOC101930489
1552261_at,WFDC2,WAP four-disulfide core domain 2
1552263_at,MAPK1,mitogen-activated protein kinase 1
1552264_a_at,MAPK1,mitogen-activated protein kinase 1
1552266_at,ADAM32,ADAM metallopeptidase domain 32
1552269_at,SPATA17,spermatogenesis associated 17
1552271_at,PRR22,proline rich 22
1552272_a_at,PRR22,proline rich 22
1552274_at,PXK,PX domain containing serine/threonine kinase
1552275_s_at,PXK,PX domain containing serine/threonine kinase
1552276_a_at,VPS18,vacuolar protein sorting 18 homolog (S. cerevisiae)
1552277_a_at,MSANTD3,Myb/SANT-like DNA-binding domain containing 3
1552278_a_at,SLC46A1,"solute carrier family 46 (folate transporter), member 1"
1552279_a_at,SLC46A1,"solute carrier family 46 (folate transporter), member 1"
1552280_at,TIMD4,T-cell immunoglobulin and mucin domain containing 4
1552281_at,SLC39A5,"solute carrier family 39 (zinc transporter), member 5"
1552283_s_at,ZDHHC11 /// ZDHHC11B,"zinc finger, DHHC-type containing 11 /// zinc finger, DHHC-type containing 11B"
1552286_at,ATP6V1E2,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"
1552287_s_at,AFG3L1P,"AFG3-like AAA ATPase 1, pseudogene"
1552288_at,CILP2,cartilage intermediate layer protein 2
1552289_a_at,CILP2,cartilage intermediate layer protein 2
1552291_at,PIGX,"phosphatidylinositol glycan anchor biosynthesis, class X"
1552293_at,TMEM196,transmembrane protein 196
1552295_a_at,SLC39A13,"solute carrier family 39 (zinc transporter), member 13"
1552296_at,BEST4,bestrophin 4
1552299_at,AK9,adenylate kinase 9
1552301_a_at,CORO6,coronin 6
1552302_at,TMEM106A,transmembrane protein 106A
1552303_a_at,TMEM106A,transmembrane protein 106A
1552304_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase"
1552306_at,ALG10,"ALG10, alpha-1,2-glucosyltransferase"
1552307_a_at,TTC39C,tetratricopeptide repeat domain 39C
1552309_a_at,NEXN,nexilin (F actin binding protein)
1552310_at,C15orf40,chromosome 15 open reading frame 40
1552311_a_at,RAX2,retina and anterior neural fold homeobox 2
1552312_a_at,MFAP3,microfibrillar-associated protein 3
1552314_a_at,EYA3,EYA transcriptional coactivator and phosphatase 3
1552315_at,GIMAP1,"GTPase, IMAP family member 1"
1552316_a_at,GIMAP1,"GTPase, IMAP family member 1"
1552318_at,GIMAP1,"GTPase, IMAP family member 1"
1552319_a_at,KLK8,kallikrein-related peptidase 8
1552320_a_at,CCDC65,coiled-coil domain containing 65
1552321_a_at,CCDC65,coiled-coil domain containing 65
1552322_at,FAM122C,family with sequence similarity 122C
1552323_s_at,FAM122C,family with sequence similarity 122C
1552325_at,CCDC11,coiled-coil domain containing 11
1552326_a_at,CCDC11,coiled-coil domain containing 11
1552327_at,ARMCX4,"armadillo repeat containing, X-linked 4"
1552329_at,RBBP6,retinoblastoma binding protein 6
1552330_at,CENPBD1,CENPB DNA-binding domains containing 1
1552332_at,TRIOBP,TRIO and F-actin binding protein
1552334_at,TRIOBP,TRIO and F-actin binding protein
1552335_at,CATSPER1,"cation channel, sperm associated 1"
1552337_s_at,HOXD4,homeobox D4
1552338_at,GSC,goosecoid homeobox
1552340_at,SP7,Sp7 transcription factor
1552343_s_at,PDE7A,phosphodiesterase 7A
1552344_s_at,CNOT7,"CCR4-NOT transcription complex, subunit 7"
1552347_at,CRYZL1,"crystallin, zeta (quinone reductase)-like 1"
1552348_at,PRSS33,"protease, serine, 33"
1552349_a_at,PRSS33,"protease, serine, 33"
1552354_at,C19orf26,chromosome 19 open reading frame 26
1552355_s_at,C19orf26,chromosome 19 open reading frame 26
1552359_at,MCMDC2,minichromosome maintenance domain containing 2
1552360_a_at,TIRAP,toll-interleukin 1 receptor (TIR) domain containing adaptor protein
1552362_a_at,LEAP2,liver expressed antimicrobial peptide 2
1552364_s_at,MSI2,musashi RNA-binding protein 2
1552365_at,SCIN,scinderin
1552367_a_at,SCIN,scinderin
1552368_at,CTCFL,CCCTC-binding factor (zinc finger protein)-like
1552370_at,C4orf33,chromosome 4 open reading frame 33
1552372_at,C4orf33,chromosome 4 open reading frame 33
1552373_s_at,C4orf33,chromosome 4 open reading frame 33
1552375_at,ZNF333,zinc finger protein 333
1552377_s_at,TVP23C,trans-golgi network vesicle protein 23 homolog C (S. cerevisiae)
1552378_s_at,RDH10,retinol dehydrogenase 10 (all-trans)
1552379_at,RDH10,retinol dehydrogenase 10 (all-trans)
1552381_at,SRSF12,serine/arginine-rich splicing factor 12
1552383_at,FAM71A,"family with sequence similarity 71, member A"
1552384_a_at,FAM71A,"family with sequence similarity 71, member A"
1552386_at,GAPT,"GRB2-binding adaptor protein, transmembrane"
1552388_at,FLJ30901 /// SCUBE1,"uncharacterized protein FLJ30901 /// signal peptide, CUB domain, EGF-like 1"
1552389_at,ERICH5,glutamate-rich 5
1552390_a_at,ERICH5,glutamate-rich 5
1552391_at,CCDC185,coiled-coil domain containing 185
1552393_at,ENTHD1,ENTH domain containing 1
1552394_a_at,ENTHD1,ENTH domain containing 1
1552395_at,TSSK3,testis-specific serine kinase 3
1552396_at,WFDC6,WAP four-disulfide core domain 6
1552398_a_at,CLEC12A,"C-type lectin domain family 12, member A"
1552399_a_at,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit"
1552400_a_at,C15orf27,chromosome 15 open reading frame 27
1552401_a_at,BACH1 /// GRIK1-AS2,"BTB and CNC homology 1, basic leucine zipper transcription factor 1 /// GRIK1 antisense RNA 2"
1552402_at,CALML6,calmodulin-like 6
1552405_at,NLRP5,"NLR family, pyrin domain containing 5"
1552408_at,ODF4,outer dense fiber of sperm tails 4
1552409_a_at,ODF4,outer dense fiber of sperm tails 4
1552410_at,CLEC4F,"C-type lectin domain family 4, member F"
1552411_at,DEFB106A /// DEFB106B,"defensin, beta 106A /// defensin, beta 106B"
1552412_a_at,DEFB106A /// DEFB106B,"defensin, beta 106A /// defensin, beta 106B"
1552414_at,WFDC9,WAP four-disulfide core domain 9
1552415_a_at,WFDC9,WAP four-disulfide core domain 9
1552417_a_at,NEDD1,"neural precursor cell expressed, developmentally down-regulated 1"
1552418_at,TTLL10,"tubulin tyrosine ligase-like family, member 10"
1552419_s_at,TTLL10,"tubulin tyrosine ligase-like family, member 10"
